strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-03-10,10:00,2025-04-17,38,SP550 / LP535,put_short=-0.306,567.36,0.2368,3.38,,1,0.1,576,2025-03-24,09:35,1.87,tp,149.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-03-17,10:05,2025-05-02,46,SP545 / LP530,put_short=-0.286,565.65,0.2301,2.7,,1,0.1,175,2025-03-25,09:55,1.53,tp,115.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-03-24,10:00,2025-05-16,53,SP555 / LP540,put_short=-0.304,572.74,0.211,2.43,,1,0.1,508,2025-04-03,15:15,7.81,stop,-539.3
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-03-31,10:00,2025-05-16,46,SP530 / LP515,put_short=-0.281,549.74,0.2203,2.59,,1,0.1,549,2025-04-04,14:35,7.98,stop,-540.3
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-04-07,10:00,2025-05-16,39,SP470 / LP455,put_short=-0.299,495.69,0.3826,2.93,,1,0.1,315,2025-04-07,10:30,1.48,tp,143.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-04-14,10:00,2025-05-30,46,SP510 / LP495,put_short=-0.293,540.47,0.3741,2.06,,1,0.1,399,2025-04-21,13:00,6.53,stop,-448.3
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-04-28,10:00,2025-06-20,53,SP530 / LP515,put_short=-0.305,550.29,0.2504,3.19,,1,0.1,572,2025-05-12,09:30,1.1,tp,207.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-05-05,10:00,2025-06-20,46,SP545 / LP530,put_short=-0.302,562.99,0.2245,3.01,,1,0.1,628,2025-05-13,09:30,1.38,tp,161.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-05-12,10:00,2025-06-20,39,SP560 / LP545,put_short=-0.278,578.79,0.2085,2.25,,1,0.1,545,2025-05-16,15:50,1.32,tp,91.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-02,10:00,2025-07-18,46,SP570 / LP555,put_short=-0.284,586.85,0.1816,2.66,,1,0.1,505,2025-06-10,11:00,1.53,tp,111.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-09,10:00,2025-07-18,39,SP590 / LP575,put_short=-0.328,598.89,0.1431,2.95,,1,0.1,626,2025-06-26,09:30,1.54,tp,139.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-23,10:00,2025-08-15,53,SP580 / LP565,put_short=-0.292,596.65,0.1777,2.4,,1,0.1,450,2025-07-01,09:50,1.39,tp,99.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-16,10:00,2025-08-01,46,SP585 / LP570,put_short=-0.281,603.05,0.1855,2.24,,1,0.1,73,2025-07-01,10:35,1.3,tp,92.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-30,10:00,2025-08-15,46,SP605 / LP590,put_short=-0.315,616.43,0.1511,2.56,,1,0.1,712,2025-07-21,09:30,1.46,tp,108.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-07-07,10:00,2025-08-15,39,SP610 / LP595,put_short=-0.290,623.65,0.1562,2.4,,1,0.1,579,2025-07-23,11:50,1.37,tp,101.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-07-14,10:15,2025-08-29,46,SP610 / LP595,put_short=-0.293,622.67,0.1425,2.48,,1,0.1,380,2025-07-28,09:30,1.34,tp,112.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-08-04,10:00,2025-09-19,46,SP615 / LP600,put_short=-0.312,629.01,0.1728,2.36,,1,0.1,843,2025-08-14,09:50,1.34,tp,100.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-07-28,10:00,2025-09-19,53,SP625 / LP610,put_short=-0.307,637.45,0.1445,2.39,,1,0.1,975,2025-08-27,11:45,1.39,tp,98.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-08-11,10:00,2025-09-19,39,SP625 / LP610,put_short=-0.277,637.69,0.1336,2.16,,1,0.1,625,2025-08-29,09:30,1.26,time_exit_21dte,88.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-08-25,10:00,2025-10-17,53,SP630 / LP615,put_short=-0.294,644.34,0.1482,2.32,,1,0.1,785,2025-09-15,09:30,1.3,tp,100.7
